"","var","en","mi","ig","gr"
"en3","SST",3.7,2.815,2.81507241011594,0.760739972688999
"en4","DUR_TOT",3.7,2.815,2.81507241011594,0.760739972688999
"en5","N_TOT",3.7,2.815,2.81507241011594,0.760739972688999
"en7","N_NH3",3.7,2.815,2.81507241011594,0.760739972688999
"en8","N_NO2",3.7,2.815,2.81507241011594,0.760739972688999
"en9","N_NO3",3.7,2.815,2.81507241011594,0.760739972688999
"en2","TURBIEDAD",3.7,2.661,2.66122625626979,0.750361215071691
"en6","COLI_FEC",3.7,2.661,2.66122625626979,0.750361215071691
"en","E_COLI",3.547,2.142,2.14161952533414,0.74539320006323
"en1","HG_TOT",3.7,2.507,2.50738010242364,0.739041195551886
