"","var","en","mi","ig","gr"
"en3","SST",3.7,3.547,3.54659356429494,0.958424899318874
"en5","DUR_TOT",3.7,3.547,3.54659356429494,0.958424899318874
"en6","N_TOT",3.7,3.547,3.54659356429494,0.958424899318874
"en7","N_NH3",3.7,3.547,3.54659356429494,0.958424899318874
"en8","N_NO2",3.7,3.547,3.54659356429494,0.958424899318874
"en9","N_NO3",3.7,3.547,3.54659356429494,0.958424899318874
"en2","TURBIEDAD",3.7,3.393,3.39274741044878,0.956621430942923
"en1","HG_TOT",3.7,3.239,3.23890125660263,0.954654403869752
"en","E_COLI",3.7,2.719,2.71929452566698,0.946453664819425
"en4","COLOR_VER",3.7,2.661,2.66122625626979,0.945349130880858
