"","var","en","mi","ig","gr"
"en2","SST",3.7,3.393,3.39274741044878,0.916849798637748
"en4","DUR_TOT",3.7,3.393,3.39274741044878,0.916849798637748
"en5","N_TOT",3.7,3.393,3.39274741044878,0.916849798637748
"en7","N_NH3",3.7,3.393,3.39274741044878,0.916849798637748
"en8","N_NO2",3.7,3.393,3.39274741044878,0.916849798637748
"en9","N_NO3",3.7,3.393,3.39274741044878,0.916849798637748
"en1","TURBIEDAD",3.7,3.239,3.23890125660263,0.913242861885845
"en6","COLI_FEC",3.7,3.239,3.23890125660263,0.913242861885845
"en","E_COLI",3.7,2.565,2.56544837182083,0.892907329638851
"en3","COLOR_VER",3.7,2.507,2.50738010242364,0.890698261761716
