"","var","en","mi","ig","gr"
"en2","SST",3.7,2.873,2.87314067951313,0.776432234641684
"en4","DUR_TOT",3.7,2.873,2.87314067951313,0.776432234641684
"en5","N_TOT",3.7,2.873,2.87314067951313,0.776432234641684
"en7","N_NH3",3.7,2.873,2.87314067951313,0.776432234641684
"en8","N_NO2",3.7,2.873,2.87314067951313,0.776432234641684
"en9","N_NO3",3.7,2.873,2.87314067951313,0.776432234641684
"en1","TURBIEDAD",3.7,2.719,2.71929452566698,0.766734184893152
"en6","COLI_FEC",3.7,2.719,2.71929452566698,0.766734184893152
"en3","COLOR_VER",3.547,2.142,2.14161952533414,0.760768894483226
"en","HG_TOT",3.7,2.565,2.56544837182083,0.756156607450324
