"","var","en","mi","ig","gr"
"en2","COLI_TOT",4.458,2.077,2.0769691368984,0.583058888573627
"en4","TEMP_AGUA",5.07,2.815,2.81533377929234,0.573122467028188
"en12","DUR_TOT",5.248,2.973,2.97322851613445,0.566552893216979
"en13","N_TOT",5.248,2.973,2.97322851613445,0.566552893216979
"en15","N_NH3",5.248,2.973,2.97322851613445,0.566552893216979
"en16","N_NO2",5.248,2.973,2.97322851613445,0.566552893216979
"en17","N_NO3",5.248,2.973,2.97322851613445,0.566552893216979
"en9","TURBIEDAD",5.195,2.868,2.86796535823971,0.563447326198673
"en14","COLI_FEC",5.143,2.795,2.79546831870909,0.563045776852549
"en1","OD_mg.L",5.248,2.868,2.86796535823971,0.557680836227475
"en","SAAM",4.89,2.279,2.27942514832918,0.543240787060728
"en3","pH_CAMPO",4.662,1.961,1.96100763595786,0.537292621913802
"en6","E_COLI",5.248,2.605,2.60480746350287,0.533826009745543
"en10","SST",5.195,2.46,2.45981338444163,0.52539000629165
"en11","COLOR_VER",4.88,1.979,1.97916437111294,0.509379424594617
"en7","HG_TOT",5.07,2.046,2.04640533326935,0.49390185017338
"en8","CR_TOT",4.616,0.97,0.970399684291801,0.371299926142233
"en5","NI_TOT",4.247,0.432,0.432381410539642,0.253497116426081
