"","var","en","mi","ig","gr"
"en2","COLI_TOT",4.965,3.562,3.56219444999701,1
"en3","pH_CAMPO",5.143,3.472,3.47203426461822,0.951295833430076
"en13","DUR_TOT",5.248,4.965,4.96490415812349,0.946069499893992
"en14","N_TOT",5.248,4.965,4.96490415812349,0.946069499893992
"en15","N_NH3",5.248,4.965,4.96490415812349,0.946069499893992
"en16","N_NO2",5.248,4.965,4.96490415812349,0.946069499893992
"en17","N_NO3",5.248,4.965,4.96490415812349,0.946069499893992
"en1","OD_mg.L",5.248,4.86,4.85964100022876,0.944965617867961
"en10","TURBIEDAD",5.248,4.807,4.80700942128139,0.944396555436513
"en4","TEMP_AGUA",5.248,4.629,4.62924922385603,0.942384435969642
"en6","E_COLI",5.248,4.596,4.59648310549191,0.941997544712136
"en12","COLOR_VER",5.195,3.655,3.65505053941777,0.940703848455964
"en9","AS_TOT",5.143,2.795,2.79546831870909,0.940213072604166
"en11","SST",5.248,4.399,4.39885744748331,0.939549218094014
"en","SAAM",5.248,3.913,3.91295235678041,0.932548857586592
"en7","HG_TOT",5.248,3.86,3.86032077783304,0.931692047238976
"en5","NI_TOT",5.09,1.581,1.58053737344947,0.926639436401856
"en8","CR_TOT",5.195,2.383,2.3831279578598,0.91184616922727
