"","var","en","mi","ig","gr"
"en5","NI_TOT",4.129,1.462,1.46237355777386,0.857362206138223
"en8","CR_TOT",4.524,1.975,1.97497598406172,0.755676706088346
"en10","TURBIEDAD",5.195,3.78,3.78017915789576,0.742663028669084
"en12","DUR_TOT",5.248,3.885,3.8854423157905,0.740376521176633
"en13","N_TOT",5.248,3.885,3.8854423157905,0.740376521176633
"en15","N_NH3",5.248,3.885,3.8854423157905,0.740376521176633
"en16","N_NO2",5.248,3.885,3.8854423157905,0.740376521176633
"en17","N_NO3",5.248,3.885,3.8854423157905,0.740376521176633
"en14","COLI_FEC",5.195,3.655,3.65505053941778,0.736177461439501
"en1","OD_mg.L",5.248,3.78,3.78017915789576,0.735062391115806
"en4","TEMP_AGUA",5.248,3.55,3.54978738152304,0.722636483278866
"en6","E_COLI",5.248,3.517,3.51702126315892,0.720773974049344
"en11","SST",5.195,3.372,3.37202718409768,0.720229182699096
"en","SAAM",5.09,2.991,2.99138525128952,0.712917675539174
"en2","COLI_TOT",4.912,2.535,2.53536418661138,0.71174222019618
"en7","HG_TOT",5.143,2.886,2.88612209339479,0.696568279303996
"en9","AS_TOT",4.88,1.979,1.97916437111294,0.665661707592556
"en3","pH_CAMPO",5.143,2.393,2.39257242228522,0.655536208180223
