"","var","en","mi","ig","gr"
"en5","NI_TOT",2.666,1.653,1.65303441298009,0.96914309179144
"en7","HG_TOT",4.458,2.298,2.29841003815259,0.554723422503522
"en11","COLOR_VER",4.524,1.975,1.97497598406172,0.508301455418701
"en6","E_COLI",5.037,2.456,2.45562499739041,0.503252740233439
"en","SAAM",4.715,2.095,2.0948485251655,0.499251823389802
"en12","DUR_TOT",5.248,2.614,2.61351973423252,0.498009876763252
"en13","N_TOT",5.248,2.614,2.61351973423252,0.498009876763252
"en15","N_NH3",5.248,2.614,2.61351973423252,0.498009876763252
"en16","N_NO2",5.248,2.614,2.61351973423252,0.498009876763252
"en17","N_NO3",5.248,2.614,2.61351973423252,0.498009876763252
"en9","TURBIEDAD",5.195,2.508,2.50825657633778,0.492778079518085
"en1","OD_mg.L",5.248,2.508,2.50825657633778,0.487734839943699
"en10","SST",5.018,2.278,2.27786479996506,0.486527721637237
"en4","TEMP_AGUA",5.143,2.383,2.3831279578598,0.485137565037054
"en14","COLI_FEC",5.195,2.383,2.3831279578598,0.479994755580641
"en2","COLI_TOT",4.564,1.612,1.61199719710173,0.452529254011691
"en3","pH_CAMPO",4.682,1.581,1.58143339347269,0.433293822410816
"en8","AS_TOT",4.616,0.97,0.970399684291801,0.326379112478524
