"","var","en","mi","ig","gr"
"en","SAAM",5.248,4.196,4.1959757121005,1
"en2","COLI_TOT",5.248,3.562,3.56219444999701,1
"en4","TEMP_AGUA",5.248,4.912,4.91227257917613,1
"en5","NI_TOT",5.248,1.706,1.70566599192746,1
"en6","E_COLI",5.248,4.88,4.87950646081201,1
"en7","HG_TOT",5.248,4.143,4.14334413315314,1
"en10","TURBIEDAD",5.248,5.09,5.09003277660148,1
"en11","SST",5.248,4.682,4.6818808028034,1
"en13","DUR_TOT",5.248,5.248,5.24792751344359,1
"en14","N_TOT",5.248,5.248,5.24792751344359,1
"en15","COLI_FEC",5.248,4.965,4.96490415812349,1
"en16","N_NH3",5.248,5.248,5.24792751344359,1
"en17","N_NO2",5.248,5.248,5.24792751344359,1
"en3","pH_CAMPO",5.248,3.65,3.64979446204357,1
"en9","AS_TOT",5.248,2.973,2.97322851613445,1
"en1","OD_mg.L",5.248,5.143,5.14266435554885,1
"en8","CR_TOT",5.248,2.614,2.61351973423252,1
"en12","COLOR_VER",5.248,3.885,3.8854423157905,1
