"","var","en","mi","ig","gr"
"en12","DUR_TOT",5.248,5.143,5.14266435554885,0.979941956586656
"en13","N_TOT",5.248,5.143,5.14266435554885,0.979941956586656
"en15","N_NH3",5.248,5.143,5.14266435554885,0.979941956586656
"en16","N_NO2",5.248,5.143,5.14266435554885,0.979941956586656
"en17","N_NO3",5.248,5.143,5.14266435554885,0.979941956586656
"en9","TURBIEDAD",5.248,4.985,4.98476961870674,0.979319748513482
"en14","COLI_FEC",5.248,4.86,4.85964100022876,0.978798551886947
"en3","TEMP_AGUA",5.248,4.807,4.80700942128139,0.978571393138695
"en5","E_COLI",5.248,4.774,4.77424330291727,0.978427499022674
"en10","SST",5.248,4.577,4.57661764490867,0.977516907770974
"en","SAAM",5.248,4.091,4.09071255420577,0.974913306196894
"en6","HG_TOT",5.248,4.038,4.0380809752584,0.974594637927256
"en11","COLOR_VER",5.248,3.78,3.78017915789576,0.972908320510397
"en2","pH_CAMPO",5.248,3.545,3.54453130414883,0.971159154579954
"en1","COLI_TOT",5.248,3.457,3.45693129210227,0.970449912442364
"en4","NI_TOT",5.195,1.653,1.65303441298009,0.96914309179144
"en8","AS_TOT",5.248,2.868,2.86796535823971,0.964596344571728
"en7","CR_TOT",5.248,2.508,2.50825657633778,0.959723603186931
