"","var","en","mi","ig","gr"
"en7","HG_TOT",5.123,3.702,3.70242604099094,0.893584004129859
"en12","DUR_TOT",5.248,4.682,4.6818808028034,0.892138999787984
"en13","N_TOT",5.248,4.682,4.6818808028034,0.892138999787984
"en15","N_NH3",5.248,4.682,4.6818808028034,0.892138999787984
"en16","N_NO2",5.248,4.682,4.6818808028034,0.892138999787984
"en17","N_NO3",5.248,4.682,4.6818808028034,0.892138999787984
"en1","OD_mg.L",5.248,4.577,4.57661764490867,0.889931235735922
"en10","TURBIEDAD",5.248,4.524,4.5239860659613,0.888793110873026
"en14","COLI_FEC",5.248,4.399,4.39885744748331,0.885990405330579
"en4","TEMP_AGUA",5.248,4.346,4.34622586853594,0.884768871939285
"en6","E_COLI",5.248,4.313,4.31345975017182,0.883995089424272
"en3","pH_CAMPO",5.143,3.189,3.18901090929813,0.873750821440108
"en8","CR_TOT",5.018,2.278,2.27786479996506,0.871569772414201
"en2","COLI_TOT",5.143,3.101,3.10141089725156,0.870646153876908
"en11","COLOR_VER",5.195,3.372,3.37202718409768,0.867861857167127
"en","SAAM",5.248,3.63,3.62992900146032,0.865097715173184
"en5","NI_TOT",4.932,1.455,1.45540875497148,0.853278872803712
"en9","AS_TOT",5.195,2.46,2.45981338444163,0.827320662065923
