"","var","en","mi","ig","gr"
"en8","AS_TOT",5.07,2.815,2.81533377929234,0.946894516857592
"en12","DUR_TOT",5.248,4.912,4.91227257917613,0.93604047818732
"en13","N_TOT",5.248,4.912,4.91227257917613,0.93604047818732
"en15","N_NH3",5.248,4.912,4.91227257917613,0.93604047818732
"en16","N_NO2",5.248,4.912,4.91227257917613,0.93604047818732
"en17","N_NO3",5.248,4.912,4.91227257917613,0.93604047818732
"en1","OD_mg.L",5.248,4.807,4.80700942128139,0.93473131609196
"en9","TURBIEDAD",5.248,4.754,4.75437784233402,0.934056429693254
"en14","COLI_FEC",5.248,4.629,4.62924922385603,0.932394478608763
"en5","E_COLI",5.248,4.544,4.54385152654455,0.931211294223473
"en10","SST",5.248,4.346,4.34622586853594,0.928307671979501
"en4","NI_TOT",5.037,1.581,1.58053737344947,0.926639436401856
"en2","COLI_TOT",5.195,3.279,3.27917109467692,0.920548033159636
"en","SAAM",5.248,3.86,3.86032077783304,0.920005510685039
"en6","HG_TOT",5.248,3.808,3.80768919888568,0.918989366202604
"en11","COLOR_VER",5.248,3.55,3.54978738152304,0.913612168966361
"en7","CR_TOT",5.143,2.383,2.3831279578598,0.91184616922727
"en3","pH_CAMPO",5.248,3.314,3.31413952777611,0.908034565300008
