"","var","en","mi","ig","gr"
"en14","COLI_FEC",4.965,3.562,3.56219444999701,0.717474967602064
"en8","AS_TOT",4.458,2.077,2.0769691368984,0.698556846750113
"en4","NI_TOT",4.089,1.179,1.17924208124431,0.691367528475916
"en12","DUR_TOT",5.248,3.562,3.56219444999701,0.678781183785743
"en13","N_TOT",5.248,3.562,3.56219444999701,0.678781183785743
"en15","N_NH3",5.248,3.562,3.56219444999701,0.678781183785743
"en16","N_NO2",5.248,3.562,3.56219444999701,0.678781183785743
"en17","N_NO3",5.248,3.562,3.56219444999701,0.678781183785743
"en1","OD_mg.L",5.248,3.457,3.45693129210227,0.67220628318321
"en9","TURBIEDAD",5.248,3.404,3.4042997131549,0.668816854933475
"en3","TEMP_AGUA",5.195,3.279,3.27917109467692,0.667546648078493
"en10","SST",5.143,3.101,3.10141089725156,0.662428418808635
"en5","E_COLI",5.248,3.194,3.19377339736543,0.654527957492231
"en11","COLOR_VER",4.912,2.535,2.53536418661138,0.652529102364387
"en2","pH_CAMPO",4.88,2.332,2.33248245122857,0.639072275298095
"en","SAAM",5.09,2.668,2.66813738549603,0.635880083338319
"en7","CR_TOT",4.564,1.612,1.61199719710173,0.616791668334238
"en6","HG_TOT",5.195,2.51,2.51024264865393,0.605849422105231
