"","var","en","mi","ig","gr"
"en5","NI_TOT",4.932,1.653,1.65303441298009,0.96914309179144
"en7","CR_TOT",5.037,2.456,2.45562499739041,0.939585404780396
"en12","DUR_TOT",5.248,4.88,4.87950646081201,0.929796848053294
"en13","N_TOT",5.248,4.88,4.87950646081201,0.929796848053294
"en15","N_NH3",5.248,4.88,4.87950646081201,0.929796848053294
"en16","N_NO2",5.248,4.88,4.87950646081201,0.929796848053294
"en17","N_NO3",5.248,4.88,4.87950646081201,0.929796848053294
"en1","OD_mg.L",5.248,4.774,4.77424330291727,0.928359887567996
"en9","TURBIEDAD",5.248,4.722,4.7216117239699,0.927619119797188
"en14","COLI_FEC",5.248,4.596,4.59648310549191,0.925794931604314
"en4","TEMP_AGUA",5.248,4.544,4.54385152654455,0.92499987598543
"en10","SST",5.248,4.313,4.31345975017182,0.921309177198408
"en","SAAM",5.248,3.828,3.82755465946892,0.912196571689127
"en6","HG_TOT",5.248,3.775,3.77492308052156,0.911081232745395
"en11","COLOR_VER",5.248,3.517,3.51702126315892,0.905179121786389
"en3","pH_CAMPO",5.248,3.281,3.28137340941199,0.899057041029841
"en2","COLI_TOT",5.248,3.194,3.19377339736543,0.896574693548274
"en8","AS_TOT",5.248,2.605,2.60480746350287,0.876087206001047
