"","var","en","mi","ig","gr"
"en14","COLI_FEC",5.143,3.472,3.47203426461822,0.699315465926433
"en12","DUR_TOT",5.248,3.65,3.64979446204357,0.695473489809818
"en13","N_TOT",5.248,3.65,3.64979446204357,0.695473489809818
"en15","N_NH3",5.248,3.65,3.64979446204357,0.695473489809818
"en16","N_NO2",5.248,3.65,3.64979446204357,0.695473489809818
"en17","N_NO3",5.248,3.65,3.64979446204357,0.695473489809818
"en1","OD_mg.L",5.248,3.545,3.54453130414883,0.689240257401661
"en9","TURBIEDAD",5.248,3.492,3.49189972520147,0.686026962587251
"en10","SST",5.143,3.189,3.18901090929813,0.681138850734649
"en3","TEMP_AGUA",5.248,3.314,3.31413952777611,0.674665233730159
"en5","E_COLI",5.248,3.281,3.28137340941199,0.67248059527437
"en8","AS_TOT",4.662,1.961,1.96100763595786,0.659554967038796
"en2","COLI_TOT",4.88,2.332,2.33248245122857,0.654788076274312
"en","SAAM",5.143,2.703,2.70310581859523,0.644213885890691
"en6","HG_TOT",5.143,2.65,2.65047423964786,0.63969444836599
"en11","COLOR_VER",5.143,2.393,2.39257242228522,0.615778649592034
"en7","CR_TOT",4.682,1.581,1.58143339347269,0.605097169444977
"en4","NI_TOT",4.324,1.032,1.03172808470544,0.604882837313037
