"","var","en","mi","ig","gr"
"en7","CR_TOT",4.715,2.095,2.0948485251655,0.801543029396971
"en12","DUR_TOT",5.248,4.196,4.1959757121005,0.799549098449187
"en13","N_TOT",5.248,4.196,4.1959757121005,0.799549098449187
"en15","N_NH3",5.248,4.196,4.1959757121005,0.799549098449187
"en16","N_NO2",5.248,4.196,4.1959757121005,0.799549098449187
"en17","N_NO3",5.248,4.196,4.1959757121005,0.799549098449187
"en","OD_mg.L",5.248,4.091,4.09071255420577,0.795446148413702
"en9","TURBIEDAD",5.248,4.038,4.0380809752584,0.793331035867032
"en4","NI_TOT",4.553,1.349,1.34861871575718,0.79066987448885
"en6","HG_TOT",5.07,3.269,3.26915252923541,0.789013034924411
"en14","COLI_FEC",5.248,3.913,3.91295235678041,0.788122435430723
"en3","TEMP_AGUA",5.248,3.86,3.86032077783304,0.78585231491378
"en5","E_COLI",5.248,3.828,3.82755465946892,0.784414303005549
"en10","SST",5.248,3.63,3.62992900146032,0.775314270984174
"en11","COLOR_VER",5.09,2.991,2.99138525128952,0.76989567934968
"en8","AS_TOT",4.89,2.279,2.27942514832918,0.76664983399685
"en1","COLI_TOT",5.09,2.668,2.66813738549603,0.749015086893494
"en2","pH_CAMPO",5.143,2.703,2.70310581859523,0.74061864214724
