"","var","en","mi","ig","gr"
"en7","CR_TOT",4.458,2.298,2.2984100381526,0.879430909989873
"en5","NI_TOT",4.458,1.391,1.39055629584753,0.815257091616255
"en10","SST",5.123,3.702,3.70242604099094,0.790798868432108
"en12","DUR_TOT",5.248,4.143,4.14334413315314,0.789520076742515
"en13","N_TOT",5.248,4.143,4.14334413315314,0.789520076742515
"en15","N_NH3",5.248,4.143,4.14334413315314,0.789520076742515
"en16","N_NO2",5.248,4.143,4.14334413315314,0.789520076742515
"en17","N_NO3",5.248,4.143,4.14334413315314,0.789520076742515
"en1","OD_mg.L",5.248,4.038,4.0380809752584,0.785211846637702
"en9","TURBIEDAD",5.248,3.985,3.98544939631103,0.782990910123773
"en","SAAM",5.07,3.269,3.26915252923541,0.779116170717507
"en14","COLI_FEC",5.248,3.86,3.86032077783304,0.777521711374197
"en4","TEMP_AGUA",5.248,3.808,3.80768919888568,0.775138011483127
"en6","E_COLI",5.248,3.775,3.77492308052156,0.773628052516886
"en11","COLOR_VER",5.143,2.886,2.88612209339478,0.742803999860078
"en3","pH_CAMPO",5.143,2.65,2.65047423964786,0.726198219437217
"en2","COLI_TOT",5.195,2.51,2.51024264865393,0.70468995555704
"en8","AS_TOT",5.07,2.046,2.04640533326935,0.688277178213642
