"","var","en","mi","ig","gr"
"en7","CR_TOT",2.666,1.653,1.65303441298009,0.632493564647032
"en11","COLOR_VER",4.129,1.462,1.46237355777386,0.376372479352159
"en5","E_COLI",4.932,1.653,1.65303441298009,0.338770821650886
"en6","HG_TOT",4.458,1.391,1.39055629584753,0.335612068696139
"en2","COLI_TOT",4.089,1.179,1.17924208124431,0.331043714147974
"en12","DUR_TOT",5.248,1.706,1.70566599192746,0.32501706389009
"en13","N_TOT",5.248,1.706,1.70566599192746,0.32501706389009
"en15","N_NH3",5.248,1.706,1.70566599192746,0.32501706389009
"en16","N_NO2",5.248,1.706,1.70566599192746,0.32501706389009
"en17","N_NO3",5.248,1.706,1.70566599192746,0.32501706389009
"en9","TURBIEDAD",5.143,1.653,1.65303441298009,0.324759090074816
"en4","TEMP_AGUA",5.037,1.581,1.58053737344947,0.321752783049868
"en1","OD_mg.L",5.195,1.653,1.65303441298009,0.321435407542491
"en","SAAM",4.553,1.349,1.34861871575718,0.321407655403721
"en14","COLI_FEC",5.09,1.581,1.58053737344947,0.318341970582337
"en10","SST",4.932,1.455,1.45540875497148,0.310859848055085
"en3","pH_CAMPO",4.324,1.032,1.03172808470543,0.282681146961836
"en8","AS_TOT",4.247,0.432,0.432381410539641,0.145424883487189
