"","var","en","mi","ig","gr"
"en11","COLOR_VER",5.195,3.78,3.78017915789576,0.972908320510397
"en12","DUR_TOT",5.248,5.09,5.09003277660148,0.969912934879983
"en13","N_TOT",5.248,5.09,5.09003277660148,0.969912934879983
"en15","N_NH3",5.248,5.09,5.09003277660148,0.969912934879983
"en16","N_NO2",5.248,5.09,5.09003277660148,0.969912934879983
"en17","N_NO3",5.248,5.09,5.09003277660148,0.969912934879983
"en1","OD_mg.L",5.248,4.985,4.98476961870674,0.969297094671998
"en5","NI_TOT",5.143,1.653,1.65303441298009,0.96914309179144
"en14","COLI_FEC",5.248,4.807,4.80700942128139,0.96819782783042
"en4","TEMP_AGUA",5.248,4.754,4.75437784233402,0.967857089708042
"en6","E_COLI",5.248,4.722,4.7216117239699,0.967641248534011
"en10","SST",5.248,4.524,4.5239860659613,0.96627536165646
"en9","AS_TOT",5.195,2.868,2.86796535823971,0.964596344571728
"en","SAAM",5.248,4.038,4.0380809752584,0.96236995929534
"en7","HG_TOT",5.248,3.985,3.98544939631103,0.961891956890883
"en8","CR_TOT",5.195,2.508,2.50825657633778,0.95972360318693
"en3","pH_CAMPO",5.248,3.492,3.49189972520147,0.956738731869932
"en2","COLI_TOT",5.248,3.404,3.4042997131549,0.955674868663546
