"","var","en","mi","ig","gr"
"en4","TEMP_AGUA",5.027,2.765,2.76516790893308,0.562165313006002
"en2","COLI_TOT",4.399,1.953,1.9527934113393,0.561444395860942
"en12","DUR_TOT",5.209,2.873,2.87327601704119,0.551550386456773
"en13","N_TOT",5.209,2.873,2.87327601704119,0.551550386456773
"en15","N_NH3",5.209,2.873,2.87327601704119,0.551550386456773
"en16","N_NO2",5.209,2.873,2.87327601704119,0.551550386456773
"en17","N_NO3",5.209,2.873,2.87327601704119,0.551550386456773
"en9","TURBIEDAD",5.155,2.765,2.76516790893308,0.547851866964559
"en14","COLI_FEC",5.101,2.691,2.69071148995569,0.547028143236127
"en1","OD_mg.L",5.209,2.765,2.76516790893308,0.542046807135124
"en6","E_COLI",5.209,2.583,2.58260338184758,0.525049503806404
"en","SAAM",4.842,2.161,2.1607212068628,0.523294828976214
"en3","pH_CAMPO",4.608,1.834,1.83369781577875,0.513910391612012
"en10","SST",5.155,2.346,2.34598480070803,0.506899310134953
"en11","COLOR_VER",4.831,1.94,1.94005101669035,0.497723366268753
"en7","HG_TOT",5.027,2.048,2.04815912479846,0.487451282690789
"en8","CR_TOT",4.561,0.975,0.974933696004593,0.36617745192943
"en5","NI_TOT",4.181,0.432,0.431972915597852,0.248307304349651
