"","var","en","mi","ig","gr"
"en2","COLI_TOT",4.919,3.478,3.47815994911625,1
"en3","pH_CAMPO",5.101,3.386,3.38556300197046,0.948834640690715
"en13","DUR_TOT",5.209,4.919,4.91878073043534,0.944202853007301
"en14","N_TOT",5.209,4.919,4.91878073043534,0.944202853007301
"en15","N_NH3",5.209,4.919,4.91878073043534,0.944202853007301
"en16","N_NO2",5.209,4.919,4.91878073043534,0.944202853007301
"en17","N_NO3",5.209,4.919,4.91878073043534,0.944202853007301
"en1","OD_mg.L",5.209,4.811,4.81067262232724,0.943020395499585
"en10","TURBIEDAD",5.209,4.757,4.75661856827318,0.942410171421464
"en4","TEMP_AGUA",5.209,4.628,4.62810809524174,0.940905551370679
"en6","E_COLI",5.209,4.628,4.62810809524174,0.940905551370679
"en12","COLOR_VER",5.155,3.661,3.66123140576019,0.939295103214643
"en11","SST",5.209,4.337,4.33743546004813,0.937194069539462
"en9","AS_TOT",5.101,2.691,2.69071148995569,0.936461194120327
"en7","HG_TOT",5.209,3.911,3.91109931110712,0.9308214156055
"en","SAAM",5.209,3.838,3.83839779932623,0.929603372041434
"en5","NI_TOT",5.047,1.611,1.61116012074849,0.926129421575025
"en8","CR_TOT",5.155,2.426,2.42584381480416,0.911127916210181
