"","var","en","mi","ig","gr"
"en14","COLI_FEC",4.919,3.478,3.47815994911625,0.707118316454901
"en4","NI_TOT",4.019,1.199,1.19901900983508,0.68922186425527
"en8","AS_TOT",4.399,1.953,1.9527934113393,0.679640034496312
"en12","DUR_TOT",5.209,3.478,3.47815994911625,0.667663131810438
"en13","N_TOT",5.209,3.478,3.47815994911625,0.667663131810438
"en15","N_NH3",5.209,3.478,3.47815994911625,0.667663131810438
"en16","N_NO2",5.209,3.478,3.47815994911625,0.667663131810438
"en17","N_NO3",5.209,3.478,3.47815994911625,0.667663131810438
"en1","OD_mg.L",5.209,3.37,3.37005184100814,0.660620222879391
"en3","TEMP_AGUA",5.155,3.242,3.2415413679767,0.659013187540441
"en9","TURBIEDAD",5.209,3.316,3.31599778695409,0.656985629177975
"en10","SST",5.101,3.005,3.00492278683714,0.649276707673828
"en5","E_COLI",5.209,3.187,3.18748731392264,0.64802386782558
"en11","COLOR_VER",4.865,2.511,2.5112832596347,0.644273963357968
"en2","pH_CAMPO",4.831,2.215,2.21521249092164,0.620833328652838
"en","SAAM",5.047,2.56,2.5599391801693,0.619979537953072
"en7","CR_TOT",4.507,1.634,1.63387168213371,0.613669392898443
"en6","HG_TOT",5.155,2.525,2.52453258384208,0.600825703085742
