"","var","en","mi","ig","gr"
"en5","NI_TOT",4.134,1.503,1.50305201264038,0.863986560452556
"en8","CR_TOT",4.54,2.02,2.01991003078648,0.758662369791152
"en10","TURBIEDAD",5.155,3.79,3.78974187879163,0.750846687068225
"en12","DUR_TOT",5.209,3.898,3.89784998689974,0.748226294262861
"en13","N_TOT",5.209,3.898,3.89784998689974,0.748226294262861
"en15","N_NH3",5.209,3.898,3.89784998689974,0.748226294262861
"en16","N_NO2",5.209,3.898,3.89784998689974,0.748226294262861
"en17","N_NO3",5.209,3.898,3.89784998689974,0.748226294262861
"en14","COLI_FEC",5.155,3.661,3.66123140576019,0.744337185657825
"en1","OD_mg.L",5.209,3.79,3.78974187879163,0.742890686178213
"en4","TEMP_AGUA",5.209,3.607,3.60717735170613,0.733347865942964
"en6","E_COLI",5.209,3.607,3.60717735170613,0.733347865942964
"en11","SST",5.155,3.371,3.37055877056658,0.728280044718905
"en2","COLI_TOT",4.865,2.511,2.5112832596347,0.722014886139087
"en","SAAM",5.047,2.98,2.97962921795279,0.721622279204178
"en7","HG_TOT",5.155,2.944,2.94422262162557,0.700709762274863
"en9","AS_TOT",4.831,1.94,1.94005101669035,0.675205237917992
"en3","pH_CAMPO",5.101,2.365,2.36463225843486,0.662709569425194
