"","var","en","mi","ig","gr"
"en5","NI_TOT",2.717,1.686,1.68561653972588,0.968928569438766
"en7","HG_TOT",4.516,2.348,2.348064340248,0.558827173453632
"en11","COLOR_VER",4.54,2.02,2.01991003078648,0.518211331266002
"en","SAAM",4.662,2.13,2.12977304609109,0.515799640588781
"en12","DUR_TOT",5.209,2.662,2.66246239594371,0.511082873590953
"en13","N_TOT",5.209,2.662,2.66246239594371,0.511082873590953
"en15","N_NH3",5.209,2.662,2.66246239594371,0.511082873590953
"en16","N_NO2",5.209,2.662,2.66246239594371,0.511082873590953
"en17","N_NO3",5.209,2.662,2.66246239594371,0.511082873590953
"en6","E_COLI",5.081,2.5,2.50030023378154,0.508317075065115
"en9","TURBIEDAD",5.155,2.554,2.5543542878356,0.506084191473064
"en10","SST",4.973,2.318,2.31773570669605,0.500795499802384
"en1","OD_mg.L",5.209,2.554,2.5543542878356,0.50072170356824
"en4","TEMP_AGUA",5.155,2.426,2.42584381480415,0.49317990529524
"en14","COLI_FEC",5.155,2.426,2.42584381480415,0.49317990529524
"en2","COLI_TOT",4.507,1.634,1.63387168213371,0.469751738285887
"en3","pH_CAMPO",4.628,1.602,1.60248182975793,0.449110021070887
"en8","AS_TOT",4.561,0.975,0.974933696004592,0.339310838994351
