"","var","en","mi","ig","gr"
"en5","NI_TOT",5.209,1.74,1.73967059377993,1
"en8","CR_TOT",5.209,2.662,2.66246239594371,1
"en","SAAM",5.209,4.129,4.12907043451984,1
"en1","OD_mg.L",5.209,5.101,5.10134525752084,1
"en2","COLI_TOT",5.209,3.478,3.47815994911625,1
"en3","pH_CAMPO",5.209,3.568,3.56812752905596,1
"en4","TEMP_AGUA",5.209,4.919,4.91878073043534,1
"en6","E_COLI",5.209,4.919,4.91878073043534,1
"en9","AS_TOT",5.209,2.873,2.87327601704119,1
"en10","TURBIEDAD",5.209,5.047,5.04729120346679,1
"en11","SST",5.209,4.628,4.62810809524174,1
"en12","COLOR_VER",5.209,3.898,3.89784998689974,1
"en13","N_TOT",5.209,5.209,5.20945336562895,1
"en14","COLI_FEC",5.209,4.919,4.91878073043534,1
"en15","N_NH3",5.209,5.209,5.20945336562895,1
"en16","N_NO2",5.209,5.209,5.20945336562895,1
"en17","N_NO3",5.209,5.209,5.20945336562895,1
"en7","HG_TOT",5.209,4.202,4.20177194630073,1
