"","var","en","mi","ig","gr"
"en5","NI_TOT",4.973,1.686,1.68561653972588,0.968928569438766
"en12","DUR_TOT",5.209,4.919,4.91878073043534,0.944202853007301
"en13","N_TOT",5.209,4.919,4.91878073043534,0.944202853007301
"en15","N_NH3",5.209,4.919,4.91878073043534,0.944202853007301
"en16","N_NO2",5.209,4.919,4.91878073043534,0.944202853007301
"en17","N_NO3",5.209,4.919,4.91878073043534,0.944202853007301
"en1","OD_mg.L",5.209,4.811,4.81067262232724,0.943020395499585
"en9","TURBIEDAD",5.209,4.757,4.75661856827318,0.942410171421464
"en4","TEMP_AGUA",5.209,4.628,4.62810809524174,0.940905551370679
"en14","COLI_FEC",5.209,4.628,4.62810809524174,0.940905551370679
"en7","CR_TOT",5.081,2.5,2.50030023378155,0.939093163377925
"en10","SST",5.209,4.337,4.33743546004813,0.937194069539462
"en6","HG_TOT",5.209,3.911,3.91109931110712,0.9308214156055
"en","SAAM",5.209,3.838,3.83839779932623,0.929603372041434
"en11","COLOR_VER",5.209,3.607,3.60717735170613,0.925427444316604
"en3","pH_CAMPO",5.209,3.277,3.27745489386235,0.918536365971619
"en2","COLI_TOT",5.209,3.187,3.18748731392264,0.91642919260586
"en8","AS_TOT",5.209,2.583,2.58260338184758,0.898835811989642
