"","var","en","mi","ig","gr"
"en7","CR_TOT",4.516,2.348,2.348064340248,0.88191455542257
"en5","NI_TOT",4.516,1.425,1.42527253808423,0.819277248911483
"en10","SST",5.081,3.749,3.74893714894496,0.810036643871677
"en12","DUR_TOT",5.209,4.202,4.20177194630073,0.80656676457136
"en13","N_TOT",5.209,4.202,4.20177194630073,0.80656676457136
"en15","N_NH3",5.209,4.202,4.20177194630073,0.80656676457136
"en16","N_NO2",5.209,4.202,4.20177194630073,0.80656676457136
"en17","N_NO3",5.209,4.202,4.20177194630073,0.80656676457136
"en1","OD_mg.L",5.209,4.094,4.09366383819262,0.802467512301267
"en9","TURBIEDAD",5.209,4.04,4.03960978413856,0.800352034644626
"en","SAAM",5.027,3.304,3.30395354227712,0.800168850270854
"en4","TEMP_AGUA",5.209,3.911,3.91109931110712,0.795135934177119
"en6","E_COLI",5.209,3.911,3.91109931110712,0.795135934177119
"en14","COLI_FEC",5.209,3.911,3.91109931110712,0.795135934177119
"en11","COLOR_VER",5.155,2.944,2.94422262162557,0.755345288177018
"en3","pH_CAMPO",5.101,2.669,2.66855421783585,0.747886446351843
"en2","COLI_TOT",5.155,2.525,2.52453258384208,0.725824177373881
"en8","AS_TOT",5.027,2.048,2.04815912479846,0.712830620048677
