"","var","en","mi","ig","gr"
"en7","CR_TOT",2.717,1.686,1.68561653972588,0.633104355687402
"en11","COLOR_VER",4.134,1.503,1.50305201264038,0.385610533420213
"en2","COLI_TOT",4.019,1.199,1.19901900983508,0.344727967481694
"en5","E_COLI",4.973,1.686,1.68561653972588,0.342689912826566
"en6","HG_TOT",4.516,1.425,1.42527253808423,0.339207495385143
"en9","TURBIEDAD",5.101,1.686,1.68561653972588,0.333964590465494
"en12","DUR_TOT",5.209,1.74,1.73967059377993,0.333944940415048
"en13","N_TOT",5.209,1.74,1.73967059377993,0.333944940415048
"en15","N_NH3",5.209,1.74,1.73967059377993,0.333944940415048
"en16","N_NO2",5.209,1.74,1.73967059377993,0.333944940415048
"en17","N_NO3",5.209,1.74,1.73967059377993,0.333944940415048
"en","SAAM",4.496,1.373,1.37297339122668,0.332513918810479
"en1","OD_mg.L",5.155,1.686,1.68561653972588,0.330425888591014
"en4","TEMP_AGUA",5.047,1.611,1.61116012074849,0.32755274305669
"en14","COLI_FEC",5.047,1.611,1.61116012074849,0.32755274305669
"en10","SST",4.885,1.483,1.48264964771704,0.320357609892774
"en3","pH_CAMPO",4.26,1.048,1.04751814852488,0.293576431894527
"en8","AS_TOT",4.181,0.432,0.431972915597852,0.150341600680148
