"","var","en","mi","ig","gr"
"en12","DUR_TOT",5.209,5.101,5.10134525752084,0.979247705945237
"en13","N_TOT",5.209,5.101,5.10134525752084,0.979247705945237
"en15","N_NH3",5.209,5.101,5.10134525752084,0.979247705945237
"en16","N_NO2",5.209,5.101,5.10134525752084,0.979247705945237
"en17","N_NO3",5.209,5.101,5.10134525752084,0.979247705945237
"en9","TURBIEDAD",5.209,4.939,4.93918309535868,0.978580964769013
"en3","TEMP_AGUA",5.209,4.811,4.81067262232724,0.978021360570277
"en5","E_COLI",5.209,4.811,4.81067262232724,0.978021360570277
"en14","COLI_FEC",5.209,4.811,4.81067262232724,0.978021360570277
"en10","SST",5.209,4.52,4.51999998713363,0.976640971670637
"en6","HG_TOT",5.209,4.094,4.09366383819262,0.974270829190697
"en","SAAM",5.209,4.021,4.02096232641173,0.973817809644441
"en11","COLOR_VER",5.209,3.79,3.78974187879163,0.972264682203921
"en2","pH_CAMPO",5.209,3.46,3.46001942094785,0.969701725280904
"en4","NI_TOT",5.155,1.686,1.68561653972588,0.968928569438766
"en1","COLI_TOT",5.209,3.37,3.37005184100814,0.968918017086714
"en8","AS_TOT",5.209,2.765,2.76516790893308,0.962374617869315
"en7","CR_TOT",5.209,2.554,2.5543542878356,0.95939544225195
