"","var","en","mi","ig","gr"
"en14","COLI_FEC",5.101,3.386,3.38556300197046,0.688293133504005
"en12","DUR_TOT",5.209,3.568,3.56812752905596,0.684933193297753
"en13","N_TOT",5.209,3.568,3.56812752905596,0.684933193297753
"en15","N_NH3",5.209,3.568,3.56812752905596,0.684933193297753
"en16","N_NO2",5.209,3.568,3.56812752905596,0.684933193297753
"en17","N_NO3",5.209,3.568,3.56812752905596,0.684933193297753
"en1","OD_mg.L",5.209,3.46,3.46001942094785,0.678256272861907
"en9","TURBIEDAD",5.209,3.406,3.4059653668938,0.674810552748447
"en10","SST",5.101,3.095,3.09489036677686,0.668716093722786
"en3","TEMP_AGUA",5.209,3.277,3.27745489386235,0.666314494074282
"en5","E_COLI",5.209,3.277,3.27745489386235,0.666314494074282
"en8","AS_TOT",4.608,1.834,1.83369781577875,0.638190624535626
"en2","COLI_TOT",4.831,2.215,2.21521249092164,0.636892070327155
"en6","HG_TOT",5.101,2.669,2.66855421783585,0.635102107382401
"en","SAAM",5.101,2.596,2.59585270605496,0.62867726458554
"en11","COLOR_VER",5.101,2.365,2.36463225843486,0.606650401216603
"en4","NI_TOT",4.26,1.048,1.04751814852488,0.602135917150183
"en7","CR_TOT",4.628,1.602,1.60248182975793,0.601879610468615
