"","var","en","mi","ig","gr"
"en7","CR_TOT",4.662,2.13,2.12977304609109,0.799926056922279
"en12","DUR_TOT",5.209,4.129,4.12907043451984,0.792611075427359
"en13","N_TOT",5.209,4.129,4.12907043451984,0.792611075427359
"en15","N_NH3",5.209,4.129,4.12907043451984,0.792611075427359
"en16","N_NO2",5.209,4.129,4.12907043451984,0.792611075427359
"en17","N_NO3",5.209,4.129,4.12907043451984,0.792611075427359
"en4","NI_TOT",4.496,1.373,1.37297339122668,0.789214576676554
"en","OD_mg.L",5.209,4.021,4.02096232641173,0.788216073100264
"en6","HG_TOT",5.027,3.304,3.30395354227711,0.786323861576053
"en9","TURBIEDAD",5.209,3.967,3.96690827235768,0.785947969404452
"en3","TEMP_AGUA",5.209,3.838,3.83839779932623,0.780355541277911
"en5","E_COLI",5.209,3.838,3.83839779932623,0.780355541277911
"en14","COLI_FEC",5.209,3.838,3.83839779932623,0.780355541277911
"en10","SST",5.209,3.548,3.54772516413262,0.766560566677369
"en11","COLOR_VER",5.047,2.98,2.97962921795279,0.764428910288238
"en8","AS_TOT",4.842,2.161,2.1607212068628,0.752006140046318
"en1","COLI_TOT",5.047,2.56,2.5599391801693,0.736003869177938
"en2","pH_CAMPO",5.101,2.596,2.59585270605496,0.727511190369857
