"","var","en","mi","ig","gr"
"en7","HG_TOT",5.081,3.749,3.74893714894496,0.892227659391546
"en12","DUR_TOT",5.209,4.628,4.62810809524174,0.888405706014603
"en13","N_TOT",5.209,4.628,4.62810809524174,0.888405706014603
"en15","N_NH3",5.209,4.628,4.62810809524174,0.888405706014603
"en16","N_NO2",5.209,4.628,4.62810809524174,0.888405706014603
"en17","N_NO3",5.209,4.628,4.62810809524174,0.888405706014603
"en1","OD_mg.L",5.209,4.52,4.51999998713363,0.886040790999169
"en10","TURBIEDAD",5.209,4.466,4.46594593307957,0.884820342842927
"en4","TEMP_AGUA",5.209,4.337,4.33743546004813,0.881811102741357
"en6","E_COLI",5.209,4.337,4.33743546004813,0.881811102741357
"en14","COLI_FEC",5.209,4.337,4.33743546004813,0.881811102741357
"en8","CR_TOT",4.973,2.318,2.31773570669605,0.87052335846213
"en3","pH_CAMPO",5.101,3.095,3.09489036677686,0.867371006662334
"en11","COLOR_VER",5.155,3.371,3.37055877056658,0.864722547531247
"en2","COLI_TOT",5.101,3.005,3.00492278683714,0.863940368125006
"en","SAAM",5.209,3.548,3.54772516413262,0.859206744082868
"en5","NI_TOT",4.885,1.483,1.48264964771704,0.852258843150048
"en9","AS_TOT",5.155,2.346,2.34598480070803,0.816484315044627
