"","var","en","mi","ig","gr"
"en8","AS_TOT",5.027,2.765,2.76516790893308,0.962374617869315
"en12","DUR_TOT",5.209,4.919,4.91878073043534,0.944202853007301
"en13","N_TOT",5.209,4.919,4.91878073043534,0.944202853007301
"en15","N_NH3",5.209,4.919,4.91878073043534,0.944202853007301
"en16","N_NO2",5.209,4.919,4.91878073043534,0.944202853007301
"en17","N_NO3",5.209,4.919,4.91878073043534,0.944202853007301
"en1","OD_mg.L",5.209,4.811,4.81067262232724,0.943020395499585
"en9","TURBIEDAD",5.209,4.757,4.75661856827318,0.942410171421464
"en5","E_COLI",5.209,4.628,4.62810809524174,0.940905551370679
"en14","COLI_FEC",5.209,4.628,4.62810809524174,0.940905551370679
"en10","SST",5.209,4.337,4.33743546004813,0.937194069539462
"en2","COLI_TOT",5.155,3.242,3.2415413679767,0.931970184062503
"en6","HG_TOT",5.209,3.911,3.91109931110712,0.9308214156055
"en","SAAM",5.209,3.838,3.83839779932623,0.929603372041434
"en4","NI_TOT",5.047,1.611,1.61116012074849,0.926129421575025
"en11","COLOR_VER",5.209,3.607,3.60717735170613,0.925427444316604
"en3","pH_CAMPO",5.209,3.277,3.27745489386235,0.918536365971619
"en7","CR_TOT",5.155,2.426,2.42584381480416,0.911127916210181
