"","var","en","mi","ig","gr"
"en11","COLOR_VER",5.155,3.79,3.78974187879163,0.972264682203921
"en5","NI_TOT",5.101,1.686,1.68561653972588,0.968928569438766
"en12","DUR_TOT",5.209,5.047,5.04729120346679,0.968871558917855
"en13","N_TOT",5.209,5.047,5.04729120346679,0.968871558917855
"en15","N_NH3",5.209,5.047,5.04729120346679,0.968871558917855
"en16","N_NO2",5.209,5.047,5.04729120346679,0.968871558917855
"en17","N_NO3",5.209,5.047,5.04729120346679,0.968871558917855
"en1","OD_mg.L",5.209,4.939,4.93918309535868,0.968211882557235
"en4","TEMP_AGUA",5.209,4.757,4.75661856827318,0.967032040855415
"en6","E_COLI",5.209,4.757,4.75661856827318,0.967032040855415
"en14","COLI_FEC",5.209,4.757,4.75661856827318,0.967032040855415
"en10","SST",5.209,4.466,4.46594593307957,0.964961457505955
"en9","AS_TOT",5.155,2.765,2.76516790893308,0.962374617869315
"en7","HG_TOT",5.209,4.04,4.03960978413856,0.961406243786046
"en","SAAM",5.209,3.967,3.96690827235768,0.960726714466662
"en8","CR_TOT",5.155,2.554,2.5543542878356,0.95939544225195
"en3","pH_CAMPO",5.209,3.406,3.4059653668938,0.954552587921355
"en2","COLI_TOT",5.209,3.316,3.31599778695409,0.95337702563007
