E_COLI,HG_TOT,TURBIEDAD,SST,COLOR_VER,DUR_TOT,N_TOT,COLI_FEC,N_NH3,N_NO2,N_NO3
10.0,0.0003,40.0,42.0,187.5,193.466,1.1717,473.0,0.0864,0.0062,0.3968
20.0,0.0003,85.0,140.0,50.0,243.1216,0.9861,2481.0,0.0487,0.0031,0.0356
41.0,0.00032,60.0,66.0,25.0,255.8,0.633,1793.0,0.175,0.002,0.072
20.0,0.00016,77.5,40.0,75.0,160.0,1.249,246.0,0.072,0.013,0.443
,0.000155,25.0,50.0,25.0,199.61,0.835464,323.0,0.053206,0.003081,0.03984
189.0,6.9e-05,55.0,92.0,60.0,82.51,0.994569,774.0,0.03555,0.013005,0.233971
,0.000374,36.0,56.0,30.0,204.34,0.787711,426.0,0.171312,0.003,0.007416
,1e-04,30.0,24.0,50.0,152.64,1.150808,794.0,0.03699,0.003503,0.167066
10.0,,32.0,70.0,40.0,212.18,0.924348,691.0,0.133493,0.002806,0.012639
30.0,9.6e-05,30.0,53.0,18.0,222.72,0.906767,530.0,0.062647,0.006472,0.145809
121.0,0.000386,65.0,304.0,30.0,216.59,1.482869,1523.0,0.047518,0.014452,0.155897
909.0,0.00011,22.0,44.35,30.0,152.71,1.870572,2481.0,0.04755,0.036445,0.894489
41.0,,20.0,33.6,25.0,202.77,0.406699,265.0,0.03665,0.002202,0.012847
