"","SAAM","OD_mg.L","COLI_TOT","pH_CAMPO","TEMP_AGUA","NI_TOT","E_COLI","HG_TOT","CR_TOT","AS_TOT","TURBIEDAD","SST","COLOR_VER","DUR_TOT","N_TOT","COLI_FEC","N_NH3","N_NO2","N_NO3"
"1",NA,6.9633,10462,7.85,20.3333,NA,301,NA,NA,0.0132,6.9,5.5,12.5,242.364,0.7268,301,0.1646,0.0179,0.4332
"2",NA,7.12,6131,8.04,20.5,NA,473,6e-04,NA,NA,3.5,5.7692,15,235.524,0.6637,1236,0.2486,0.0203,0.3545
"3",NA,8.12,3448,8.04,19.5,NA,30,1e-04,NA,0.0394,5.5,NA,10,320.8248,0.8312,400,0.5126,0.0346,0.1317
"4",NA,5,5794,8.02,25.3,0.0077,201,1e-04,0.0066,NA,4.5,31.5,20,180.306,0.8621,2481,0.129,0.032,0.6342
"5",NA,11.22,7270,8.29,24.5,NA,20,1e-04,NA,0.0194,4,7.33,15,297.422,0.7445,120,0.0702,0.0243,0.1503
"6",NA,7.42,NA,7.99,20.2,0.0088,12997,0.0018,0.0112,NA,112.5,460,312.5,175.829,2.0169,NA,0.0844,0.0373,0.7085
"7",0.882,7.63,NA,7.94,18.1,NA,9804,NA,NA,NA,39,67.5,40,163.956,1.616,19863,0.008,0.037,0.881
"8",0.063,11.2,NA,8.2,21.2,NA,24196,0.00018,NA,0.0181,2,9.3,7.5,324.9,0.699,24196,0.279,0.016,0.118
"9",0.028,10,2613,8,23.5,NA,171,0.00132,NA,0.0192,2.8,9.8,10,198,0.521,437,0.098,0.004,0.08
"10",0.011,8,NA,8.2,26,NA,1039,0.00044,NA,0.0289,6.5,12.7,10,243.6,0.8,24196,0.111,0.005,0.188
"11",NA,4.5,19863,7.8,24,NA,489,0.00031,NA,0.0163,2.5,23.1,7.5,236.5,0.913,3448,0.242,0.029,0.383
"12",0.03,5.7,17329,8,23.8,0.0033,1723,0.00014,0.0044,NA,92.5,98,75,164,1.943,5794,0.097,0.039,1.256
"13",0.051,6.5,NA,8.3,23.1,NA,4611,0.00031,NA,NA,36,64,40,128.3,1.258,12033,0.178,0.03,0.758
"14",0.019,6.04,3654,8.3,23,0.0082,459,0.001485,0.0046,NA,10.6,31,13,175.57,0.950613,1576,0.208313,0.0412,0.7011
"15",0.017,6.57,2909,8.1,25.3,NA,20,0.000101,NA,NA,8.2,15.38,8,232.18,1.139561,880,0.31901,0.023611,0.070415
"16",NA,6.42,2613,7.8,25.8,NA,10,9.6e-05,0.0049,0.0139,5.1,15,10,244.19,0.618837,1246,0.097999,0.002875,0.037583
"17",NA,5.4,19863,8.1,25.9,0.0076,496,NA,0.0144,NA,52,44,75,163.97,1.042271,5475,0.139792,0.03748,0.588304
"18",0.022,6.86,NA,7.7,22.1,0.0197,5475,0.00023,0.0347,NA,90,183.33,100,154.71,1.853759,9208,0.096771,0.030934,1.166088
"19",0.127,6.19,NA,8.1,22.9,NA,6488,0.000267,0.0126,NA,48,103.64,50,149.76,1.98369,15531,0.158423,0.027965,1.408629
"20",0.024,14.84,1014,8.4,22.3,NA,31,0.000102,0.0058,0.0197,7.3,9,10,276.58,0.922659,309,0.032482,0.016863,0.049949
"21",0.031,4.24,12033,7.9,25.3,NA,187,NA,NA,NA,21,20,18,208.64,1.301812,3873,0.422454,0.058535,0.4269
"22",0.063,6.94,12033,8.3,26.5,NA,41,7.5e-05,NA,NA,5.4,9.5,15,280.24,0.180522,3609,0.165468,0.001835,0.013219
"23",0.026,6.55,NA,8.1,23.3,0.0714,36540,0.002547,0.1005,NA,NA,NA,325,225.29,NA,104620,0.205571,0.020928,0.817734
