,FECHA,AS_TOT
28601,2012-12-05,0.0132
28602,2013-01-08,0.0263
28603,2013-03-15,0.0394
28604,2013-06-28,0.0294
28605,2013-08-23,0.0194
28606,2013-09-17,0.018966667
28607,2013-10-26,0.018533334
28608,2014-02-26,0.0181
28609,2014-03-25,0.0192
28610,2014-05-13,0.0289
28611,2014-06-25,0.0163
28612,2014-08-12,0.01582
28613,2014-09-28,0.01534
28614,2015-03-21,0.0148599995
28615,2015-05-15,0.01438
28616,2015-06-16,0.0139
28617,2015-07-27,0.01535
28618,2015-09-13,0.0168
28619,2015-10-29,0.01825
28620,2016-03-05,0.0197
28621,2016-04-28,0.021316666
28622,2016-06-04,0.022933334
28623,2016-07-24,0.02455
28624,2016-09-18,0.026166666
28625,2016-11-07,0.027783334
28626,2017-03-14,0.0294
28627,2017-04-23,0.0472
28628,2017-05-26,0.0533
28629,2017-07-03,0.04335
28630,2017-08-15,0.0334
28631,2017-10-09,0.02345
28632,2018-02-11,0.0135
28633,2018-03-15,0.0165
28634,2018-04-24,0.0435
28635,2018-06-07,0.0485
28636,2018-10-25,0.03465
28637,2018-12-19,0.0208
120616,2019-02-15,0.0335
