,FECHA,COLOR_VER
28601,2012-12-05,12.5
28602,2013-01-08,15.0
28603,2013-03-15,10.0
28604,2013-06-28,20.0
28605,2013-08-23,15.0
28606,2013-09-17,312.5
28607,2013-10-26,40.0
28608,2014-02-26,7.5
28609,2014-03-25,10.0
28610,2014-05-13,10.0
28611,2014-06-25,7.5
28612,2014-08-12,75.0
28613,2014-09-28,40.0
28614,2015-03-21,13.0
28615,2015-05-15,8.0
28616,2015-06-16,10.0
28617,2015-07-27,75.0
28618,2015-09-13,100.0
28619,2015-10-29,50.0
28620,2016-03-05,10.0
28621,2016-04-28,18.0
28622,2016-06-04,15.0
28623,2016-07-24,325.0
28624,2016-09-18,13.0
28625,2016-11-07,30.0
28626,2017-03-14,18.0
28627,2017-04-23,25.0
28628,2017-05-26,25.0
28629,2017-07-03,150.0
28630,2017-08-15,50.0
28631,2017-10-09,100.0
28632,2018-02-11,10.0
28633,2018-03-15,25.0
28634,2018-04-24,13.0
28635,2018-06-07,30.0
28636,2018-10-25,30.0
28637,2018-12-19,8.0
120616,2019-02-15,13.0
