,FECHA,DUR_TOT
28601,2012-12-05,242.364
28602,2013-01-08,235.524
28603,2013-03-15,320.8248
28604,2013-06-28,180.306
28605,2013-08-23,297.422
28606,2013-09-17,175.829
28607,2013-10-26,163.956
28608,2014-02-26,324.9
28609,2014-03-25,198.0
28610,2014-05-13,243.6
28611,2014-06-25,236.5
28612,2014-08-12,164.0
28613,2014-09-28,128.3
28614,2015-03-21,175.57
28615,2015-05-15,232.18
28616,2015-06-16,244.19
28617,2015-07-27,163.97
28618,2015-09-13,154.71
28619,2015-10-29,149.76
28620,2016-03-05,276.58
28621,2016-04-28,208.64
28622,2016-06-04,280.24
28623,2016-07-24,225.29
28624,2016-09-18,197.41
28625,2016-11-07,130.37
28626,2017-03-14,282.91
28627,2017-04-23,325.71
28628,2017-05-26,326.98
28629,2017-07-03,132.47
28630,2017-08-15,175.75
28631,2017-10-09,122.94
28632,2018-02-11,220.655
28633,2018-03-15,253.604
28634,2018-04-24,283.272
28635,2018-06-07,319.76
28636,2018-10-25,125.879
28637,2018-12-19,231.883
120616,2019-02-15,294.314
