,FECHA,N_TOT
28601,2012-12-05,0.7268
28602,2013-01-08,0.6637
28603,2013-03-15,0.8312
28604,2013-06-28,0.8621
28605,2013-08-23,0.7445
28606,2013-09-17,2.0169
28607,2013-10-26,1.616
28608,2014-02-26,0.699
28609,2014-03-25,0.521
28610,2014-05-13,0.8
28611,2014-06-25,0.913
28612,2014-08-12,1.943
28613,2014-09-28,1.258
28614,2015-03-21,0.950613
28615,2015-05-15,1.139561
28616,2015-06-16,0.618837
28617,2015-07-27,1.042271
28618,2015-09-13,1.853759
28619,2015-10-29,1.98369
28620,2016-03-05,0.922659
28621,2016-04-28,1.301812
28622,2016-06-04,0.180522
28623,2016-07-24,0.77443045
28624,2016-09-18,1.368339
28625,2016-11-07,0.959882
28626,2017-03-14,0.950412
28627,2017-04-23,0.753732
28628,2017-05-26,0.815892
28629,2017-07-03,4.525243
28630,2017-08-15,2.152425
28631,2017-10-09,1.782493
28632,2018-02-11,0.86312
28633,2018-03-15,1.55422
28634,2018-04-24,0.72289
28635,2018-06-07,0.89098
28636,2018-10-25,1.43938
28637,2018-12-19,0.93426
120616,2019-02-15,0.930861
