,FECHA,N_NO3
28601,2012-12-05,0.4332
28602,2013-01-08,0.3545
28603,2013-03-15,0.1317
28604,2013-06-28,0.6342
28605,2013-08-23,0.1503
28606,2013-09-17,0.7085
28607,2013-10-26,0.881
28608,2014-02-26,0.118
28609,2014-03-25,0.08
28610,2014-05-13,0.188
28611,2014-06-25,0.383
28612,2014-08-12,1.256
28613,2014-09-28,0.758
28614,2015-03-21,0.7011
28615,2015-05-15,0.070415
28616,2015-06-16,0.037583
28617,2015-07-27,0.588304
28618,2015-09-13,1.166088
28619,2015-10-29,1.408629
28620,2016-03-05,0.049949
28621,2016-04-28,0.4269
28622,2016-06-04,0.013219
28623,2016-07-24,0.817734
28624,2016-09-18,0.824911
28625,2016-11-07,0.487273
28626,2017-03-14,0.30098
28627,2017-04-23,0.02402
28628,2017-05-26,0.05598
28629,2017-07-03,1.251739
28630,2017-08-15,0.946546
28631,2017-10-09,0.71381
28632,2018-02-11,0.487336
28633,2018-03-15,0.827015
28634,2018-04-24,0.008323
28635,2018-06-07,0.032173
28636,2018-10-25,0.975699
28637,2018-12-19,0.415529
120616,2019-02-15,0.008934
