,FECHA,N_NO2
28601,2012-12-05,0.0179
28602,2013-01-08,0.0203
28603,2013-03-15,0.0346
28604,2013-06-28,0.032
28605,2013-08-23,0.0243
28606,2013-09-17,0.0373
28607,2013-10-26,0.037
28608,2014-02-26,0.016
28609,2014-03-25,0.004
28610,2014-05-13,0.005
28611,2014-06-25,0.029
28612,2014-08-12,0.039
28613,2014-09-28,0.03
28614,2015-03-21,0.0412
28615,2015-05-15,0.023611
28616,2015-06-16,0.002875
28617,2015-07-27,0.03748
28618,2015-09-13,0.030934
28619,2015-10-29,0.027965
28620,2016-03-05,0.016863
28621,2016-04-28,0.058535
28622,2016-06-04,0.001835
28623,2016-07-24,0.020928
28624,2016-09-18,0.04548
28625,2016-11-07,0.015819
28626,2017-03-14,0.02533
28627,2017-04-23,0.00295
28628,2017-05-26,0.00866
28629,2017-07-03,0.188686
28630,2017-08-15,0.055305
28631,2017-10-09,0.0175
28632,2018-02-11,0.026406
28633,2018-03-15,0.037418
28634,2018-04-24,0.004143
28635,2018-06-07,0.002905
28636,2018-10-25,0.03646
28637,2018-12-19,0.02123
120616,2019-02-15,0.002813
