,FECHA,SAAM
28601,2012-12-05,0.17657143
28602,2013-01-08,0.29414287
28603,2013-03-15,0.4117143
28604,2013-06-28,0.5292857
28605,2013-08-23,0.64685714
28606,2013-09-17,0.7644286
28607,2013-10-26,0.882
28608,2014-02-26,0.063
28609,2014-03-25,0.028
28610,2014-05-13,0.011
28611,2014-06-25,0.0205
28612,2014-08-12,0.03
28613,2014-09-28,0.051
28614,2015-03-21,0.019
28615,2015-05-15,0.017
28616,2015-06-16,0.018666668
28617,2015-07-27,0.020333333
28618,2015-09-13,0.022
28619,2015-10-29,0.127
28620,2016-03-05,0.024
28621,2016-04-28,0.031
28622,2016-06-04,0.063
28623,2016-07-24,0.026
28624,2016-09-18,0.063
28625,2016-11-07,0.065500006
28626,2017-03-14,0.068
28627,2017-04-23,0.01
28628,2017-05-26,0.015
28629,2017-07-03,0.058
28630,2017-08-15,0.057
28631,2017-10-09,0.023
28632,2018-02-11,0.11
28633,2018-03-15,0.01
28634,2018-04-24,0.029
28635,2018-06-07,0.048
28636,2018-10-25,0.12
28637,2018-12-19,0.054
120616,2019-02-15,0.053
