,FECHA,TEMP_AGUA
28601,2012-12-05,20.3333
28602,2013-01-08,20.5
28603,2013-03-15,19.5
28604,2013-06-28,25.3
28605,2013-08-23,24.5
28606,2013-09-17,20.2
28607,2013-10-26,18.1
28608,2014-02-26,21.2
28609,2014-03-25,23.5
28610,2014-05-13,26.0
28611,2014-06-25,24.0
28612,2014-08-12,23.8
28613,2014-09-28,23.1
28614,2015-03-21,23.0
28615,2015-05-15,25.3
28616,2015-06-16,25.8
28617,2015-07-27,25.9
28618,2015-09-13,22.1
28619,2015-10-29,22.9
28620,2016-03-05,22.3
28621,2016-04-28,25.3
28622,2016-06-04,26.5
28623,2016-07-24,23.3
28624,2016-09-18,23.6
28625,2016-11-07,21.6
28626,2017-03-14,19.9
28627,2017-04-23,30.1
28628,2017-05-26,25.7
28629,2017-07-03,23.2
28630,2017-08-15,25.9
28631,2017-10-09,21.7
28632,2018-02-11,20.7
28633,2018-03-15,21.6
28634,2018-04-24,25.8
28635,2018-06-07,27.3
28636,2018-10-25,22.0
28637,2018-12-19,18.6
120616,2019-02-15,23.5
