,FECHA,TURBIEDAD
28601,2012-12-05,6.9
28602,2013-01-08,3.5
28603,2013-03-15,5.5
28604,2013-06-28,4.5
28605,2013-08-23,4.0
28606,2013-09-17,112.5
28607,2013-10-26,39.0
28608,2014-02-26,2.0
28609,2014-03-25,2.8
28610,2014-05-13,6.5
28611,2014-06-25,2.5
28612,2014-08-12,92.5
28613,2014-09-28,36.0
28614,2015-03-21,10.6
28615,2015-05-15,8.2
28616,2015-06-16,5.1
28617,2015-07-27,52.0
28618,2015-09-13,90.0
28619,2015-10-29,48.0
28620,2016-03-05,7.3
28621,2016-04-28,21.0
28622,2016-06-04,5.4
28623,2016-07-24,10.7
28624,2016-09-18,16.0
28625,2016-11-07,18.0
28626,2017-03-14,5.7
28627,2017-04-23,7.0
28628,2017-05-26,5.5
28629,2017-07-03,150.0
28630,2017-08-15,34.0
28631,2017-10-09,90.0
28632,2018-02-11,4.1
28633,2018-03-15,2.3
28634,2018-04-24,5.9
28635,2018-06-07,7.3
28636,2018-10-25,20.0
28637,2018-12-19,4.8
120616,2019-02-15,9.5
